antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Speed Category=Low'}),"frozenset({'Time of Day=Day', 'Road User=Pedestrian'})",0.31159553031690784,0.06695365451547902,0.05367283385235391,0.17225161669606115,2.572699249093838,0.0328103743669482,1.1272101091400357,0.8880000254292549
frozenset({'Speed Category=Very High'}),"frozenset({'National Road Type=National or State Highway', 'Road User=Driver'})",0.13299139036453564,0.1620260120901264,0.05028393478659095,0.37809917355371897,2.3335708178968364,0.028735870163503974,1.3474399008251785,0.6591309247130078
"frozenset({'Speed Category=Low', 'Time of Day=Day'})",frozenset({'Road User=Pedestrian'}),0.17420773035354462,0.1339989008976003,0.05367283385235391,0.3080967402733964,2.2992482640498575,0.030329189457113413,1.251621649310611,0.6842825496425013
frozenset({'National Road Type=National or State Highway'}),"frozenset({'Speed Category=Very High', 'Road User=Driver'})",0.29419307565488184,0.07693716797948343,0.05028393478659095,0.17092154420921543,2.2215731186621595,0.02764955270653043,1.1133600512391661,0.779063649218053
frozenset({'Speed Category=Low'}),frozenset({'Road User=Pedestrian'}),0.31159553031690784,0.1339989008976003,0.09269096904194908,0.2974720752498531,2.2199590687477073,0.050937510454878536,1.232692777885508,0.7982825045699609
frozenset({'Gender=Female'}),"frozenset({'Road User=Passenger', 'Time of Day=Day'})",0.26158637113024363,0.10029309397325517,0.05742810038468584,0.21953781512605042,2.188962434288784,0.031192793882797512,1.1527873143169058,0.7355803527446976
frozenset({'Speed Category=Low'}),"frozenset({'Gender=Male', 'Road User=Pedestrian'})",0.31159553031690784,0.0882029675764792,0.057336508518043595,0.18400940623162845,2.086204254659314,0.02985285806052553,1.1174112047207556,0.7563294152453466
"frozenset({'Gender=Female', 'Time of Day=Day'})",frozenset({'Road User=Passenger'}),0.17668071075288513,0.17329181168712218,0.05742810038468584,0.3250388802488336,1.875673622915838,0.026810779928149966,1.2248234218552545,0.567043930886288
frozenset({'Gender=Female'}),frozenset({'Road User=Passenger'}),0.26158637113024363,0.17329181168712218,0.08499725224400073,0.32492997198879553,1.875045155482912,0.0396664760781809,1.2246258225215658,0.632002840058512
"frozenset({'Speed Category=Low', 'Gender=Male'})",frozenset({'Road User=Pedestrian'}),0.22952921780545887,0.1339989008976003,0.057336508518043595,0.24980047885075818,1.8641979686210373,0.026579845608226196,1.1543610395481987,0.6016792532803434
